    star_name|sy_dist|st_spectype|st_rad|st_teff|st_mass|st_age|ra|dec|sy_vmag|sy_jmag|sy_hmag|sy_kmag|known_binary_fl|gaia_binary_fl|WDSsep|wds_deltamag
TIC 459832522|11.257458065968704|K1.5IIIFe-0.5|25.018645639478063|4295.0|0.92|8.709635899560796|213.915338|19.182202|null|null|null|null|1|0|0.3|3.33
TIC 245873777|20.43318348998774|K5+III|43.92756573407304|3902.6|0.93|9.549925860214367|68.980213|16.509084|null|null|null|null|1|0|31.6|12.75
TIC 272314138|27.15177844148792|M3.5III|71.85169160791429|3689.0|0.5441563948589293|null|187.791407|-57.11318|null|null|null|null|1|0|133.2|4.62
TIC 322899250|2.6370612589330453|A0mA1Va|1.8203525896298292|9712.0|2.4775856792237505|null|101.286998|-16.715745|null|null|null|null|1|0|11.3|9.91
TIC 368326352|13.0|G3III:|14.205526091276626|5205.0|0.8851835852264439|null|79.172437|45.997898|null|null|null|null|1|0|0.0|0.0999999999999999
TIC 471011144|1.3474909718104888|K1V|0.899855262848747|5244.0|0.8959186306211407|null|219.903981|-60.837157|null|null|null|null|1|0|5.3|-1.34
TIC 280310048|3.497359493582345|F5IV-V+DQZ|2.0633565402794045|658y4.0|1.53|1.74|114.825217|5.224936|null|null|null|null|1|0|3.8|10.34
TIC 471011145|1.3474909718104888|G2V|1.2862532752257885|5776.0|1.035213484399243|null|219.910043|-60.833976|null|null|null|null|1|0|5.3|1.34
TIC 157587146|7.756146746296439|A0Va|2.8423168672992976|9458.3|2.4052352692799066|null|279.234764|38.783747|null|null|null|null|1|0|84.5|9.41
TIC 423088367|10.358400662937642|K0IIIb|8.840276440775776|4860.0|2.02|1.2882495516931325|116.328966|28.026137|null|null|null|null|1|0|39.8|12.37
TIC 440388263|24.86943546381497|A1IV-Vp|4.449358685806391|8848.7|2.2264341531921854|null|89.88216396171|44.94743634981|1.71414|1.71414|1.71414|1.71414|1|0|0.0|0.2000000000000001
TIC 70257116|5.12952038984355|A7Vn|1.7915292251488666|7747.2|1.8281924586383476|null|297.695844|8.868386|null|null|null|null|1|0|195.8|8.870000000000001
TIC 99843265|37.67897513187641|G9III+A7.5|29.56022172925343|4627.0|0.7339396124372838|null|165.931834|61.750945|null|null|null|null|1|0|0.8|2.93
TIC 229540730|38.774718883288095|K4-III|41.79640191860209|4043.0|0.6322828325926475|null|222.676488|74.15555|null|null|null|null|1|0|212.3|10.55
TIC 306349516|20.21018593371059|K2-IIIbCa-1|14.58545029384291|4537.0|1.45|3.019951720402019|31.793405|23.462332|null|null|null|null|0|0|null|null
TIC 95431294|39.88831272437176|K1-III+G7IIIb|32.867771295840555|4341.0|0.678479721468882|null|154.993377|19.841307|null|null|null|null|1|0|4.7|1.27
TIC 329269366|45.24886877828054|K5III|46.66762933614758|3935.8|0.6120597169771804|null|269.151559|51.488832|null|null|null|null|1|0|21.1|11.17
TIC 114434141|29.37720329024677|G9.5IIICH-1|17.134223847240413|4851.0|2.79|0.5248074602497734|10.897442|-17.986588|null|null|null|null|0|0|null|null
TIC 179323446|18.034265103697024|K0-IIIb|95.04294561366169|4924.0|0.8081666320131379|null|211.670609|-36.369934|null|null|null|null|1|0|3.0|11.84
TIC 230981971|42.75331338178709|B6Vpe|4.896441758757951|20230.0|6.523399869685962|null|24.428517|-57.236651|null|null|null|null|0|0|null|null
TIC 191437754|24.4589|K1III|14.950070636043316|4517.0|0.7102754806751789|null|252.54091763127|-34.29323861225|null|null|null|null|0|0|null|null
TIC 80256524|25.0512|K0.5IIIb|13.076406115663302|4770.0|0.7681499037191268|null|6.570833|-42.30604|2.089977502822876|2.089977502822876|2.089977502822876|2.089977502822876|0|0|null|null
TIC 357348164|23.759|B8IVn|5.428696223518697|11535.0|3.04524678398948|null|152.092926|11.967192|null|null|null|null|1|0|179.2|6.84
TIC 47552789|7.7035667514059005|A4V|1.9051281245365397|8515.5|2.1193596014385547|null|344.412715|-29.622122|null|null|null|null|1|0|12.7|23.44
TIC 285473140|40.17677782241864|B7III|4.737983976880655|13960.0|3.9247036649564446|null|81.572987|28.607434|null|null|null|null|1|0|0.1|0.0
TIC 290374453|34.698126301179734|A1III-|6.671189239049228|8910.0|2.2451884408598257|null|138.299889|-69.717166|null|null|null|null|0|0|null|null
TIC 396298498|16.69727834362999|F2III|3.629747402983327|6810.0|1.93|1.16|2.294576|59.149788|null|null|null|null|1|0|66.1|10.15
TIC 427733653|29.744199881023203|B8IV-VHgMn|2.9040954527960894|13076.0|3.592546418709897|null|2.096903|29.09042|null|null|null|null|1|0|0.0|1.99
TIC 43255143|10.795638562020944|G0IV|2.707509354664011|5759.0|1.030626266423431|null|250.321778|31.60275|null|null|null|null|1|0|1.6|2.45
TIC 267211065|7.4783|G0V|1.8676915813662125|5806.0|1.2|5.47|6.435112|-77.254246|2.680731773376465|2.680731773376465|2.680731773376465|2.680731773376465|0|0|null|null
TIC 308056612|33.51206434316354|A1.5IV+|5.496637255048278|9149.1|2.316307009802383|null|99.428069|16.399262|null|null|null|null|1|0|0.4|5.6
