main_id sp_type plx_value plx_err teff logg fe_h vmag kmag
"TYC 2389-1411-1" "" 0.862 0.07680000364780426 "" "" "" 10.859999656677246 10.005000114440918
TOI-3844 "" 1.4173 0.056299999356269836 "" "" "" 13.645999908447266 11.907999992370605
"UCAC4 546-045891" "" 2.2209 0.04800000041723251 "" "" "" 16.166000366210938 13.03499984741211
TOI-3814 "" 1.6712 0.015599999576807022 "" "" "" 13.123000144958496 11.45199966430664
KOI-4545 "" 0.7323 0.5274999737739563 "" "" "" "" 13.1899995803833
"HD 174433" F5 16.9743 0.08940000087022781 5848.0 4.070000171661377 -0.3700000047683716 "" 6.235000133514404
"2MASS J18550698+4502540" F3/F5V 1.0117 0.01360000018030405 6432.0 4.140000104904175 -0.25999999791383743 "" 11.76200008392334
"UCAC3 170-284683" K7V 9.4055 0.019999999552965164 4229.083333333333 4.819145419380882 -0.026679999381303787 13.460000038146973 10.012999534606934
KOI-5375 "" 0.3658 0.013299999758601189 5072.714285714285 3.191283384958903 -0.30940000265836715 "" 11.595999717712402
KOI-5341 G1V 2.2938 0.00989999994635582 6181.666666666667 4.25 0.02250000089406967 13.0 11.243000030517578
KOI-4730 "" 2.386 0.01360000018030405 "" "" "" "" 12.305999755859375
TOI-3575 "" 2.0128 0.057100001722574234 "" "" "" 12.758000373840332 10.979000091552734
"GSC 04946-01107" K4V 10.304 0.02239999920129776 4729.5 4.762749910354614 0.0820000022649765 11.729999542236328 9.220000267028809
"HD 107094" G5V 18.6573 0.023399999365210533 5564.8 4.524461526137132 -0.5131538395698254 9.130000114440918 7.4070000648498535
"TYC 3659-1070-1" "" 3.59 0.4300000071525574 "" "" "" 10.359999656677246 9.187999725341797
"UCAC4 370-188351" "" 4.4737 0.013100000098347664 5305.777777777777 4.634422249264187 0.09199999858226095 "" 10.640999794006348
TOI-3598 "" 1.2281 0.02250000089406967 "" "" "" "" 11.881999969482422
TOI-1820 "" 3.8403 0.035100001841783524 5781.0 4.086999893188477 0.029999999329447746 10.899999618530273 9.508000373840332
"LP  612-34" M2V 13.9561 0.01899999938905239 3668.0 3.607324957847595 -0.2969999946653843 14.89799976348877 10.357000350952148
TOI-797 M 17.8125 0.013500000350177288 4103.75 4.76829993724823 -0.1038499977439642 13.689000129699707 9.557000160217285
"HD 130599" A8V 3.6048 0.016499999910593033 "" "" "" 9.920000076293945 9.215999603271484
"UCAC4 464-124997" "" 1.7661 0.015599999576807022 "" "" "" 13.847000122070312 12.017000198364258
"2MASS J04354290+1323449" L3.5 "" "" 1760.0 5.110000133514404 "" "" 14.800999641418457
TOI-2525 K8V 2.4916 0.011900000274181366 5096.0 4.579999923706055 0.14000000059604645 14.282999992370605 11.904999732971191
TOI-3178 "" 0.4969 0.014000000432133675 "" "" "" 13.54699993133545 12.338000297546387
"UCAC4 209-041732" "" 0.5493 0.012000000104308128 "" "" "" 13.543000221252441 12.711000442504883
"BD-14   822" "" 2.3977 0.039799999445676804 "" "" "" 10.369999885559082 9.440999984741211
TOI-3893 "" 4.4931 0.016499999910593033 "" "" "" 14.020999908447266 11.121999740600586
"HD  16905" K3V 25.1176 0.012299999594688416 4816.4 4.3394999504089355 0.17672727527943524 9.460000038146973 7.085999965667725
"BD+79   170" F5 9.1403 0.013199999928474426 "" "" "" 9.1899995803833 8.013999938964844
"BD-22  6219" M0V 42.5957 0.023900000378489494 3823.8333333333335 4.679866631825765 -0.040833333817621074 10.809000015258789 7.117000102996826
"HD 146243" K2 17.6238 0.014499999582767487 "" "" "" 10.260000228881836 7.956999778747559
"UCAC4 260-007797" "" 2.7325 0.30169999599456787 "" "" "" 13.604999542236328 12.041000366210938
KOI-5459 F6IV 1.2999 0.011900000274181366 5989.571428571428 3.945071356637137 0.07613750103337225 "" 10.142999649047852
"TYC 5278-1888-1" "" 3.1397 0.02199999988079071 6565.666666666667 4.1339999834696455 0.009999999776482582 11.944000244140625 10.574999809265137
"UCAC4 490-054750" "" 2.6971 0.016499999910593033 5594.5 4.369999885559082 -0.09699999913573265 13.300999641418457 11.482000350952148
TOI-3518 "" "" "" "" "" "" "" 11.805000305175781
"UCAC4 698-051570" "" 2.2963 0.01679999940097332 "" "" "" 13.456999778747559 12.008000373840332
"UCAC4 565-032603" "" 3.0542 0.042500000447034836 "" "" "" "" 12.696999549865723
"UCAC4 594-088937" "" 0.9385 0.012900000438094139 "" "" "" "" 12.38700008392334
TOI-5073 "" 1.0589 0.022299999371170998 "" "" "" 13.973999977111816 12.194000244140625
