# ALL HZ planets (combined Gaia DR3 with default values of NASA Exoplanet Archive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# CSV file for Probing the Limits of Habitability: A Catalog of Rocky Exoplanets in the Habitable Zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Abigail Bohl - Lucas Lawrence - Gillis Lowry - Lisa Kaltenegger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Cite this paper when using this data: Bohl et al. Probing the Limits of Habitability: A Catalog of Rocky Exoplanets in the Habitable Zone. 2026. MNRAS.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# pl_name - planet name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# pl_rade - planet radius in Earth radii (from NASA Exoplanet Archive; updated if stellar radius changed in Gaia DR3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# pl_bmasse - planet mass in Earth masses (either mass sini or mass) from NASA Exoplanet Archive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# insolationFluxAvg - time-averaged flux received by planet in Earth flux: used in habitable zone calculations and resulting lists of HZ rocky planets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# minFlux - minimum possible flux in Earth flux received by planet based on uncertainities and eccentricity ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# maxFlux - maximum possible flux in Earth flux received by planet based on uncertainities and eccentricity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# innerFluxLimit - Recent Venus flux limit in Earth flux from Kopparapu et al. 2013 (used for empirical HZ planet list),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 3DinnerFluxLimit - 3D inner flux limit in Earth flux (Leconte et al. 2013; Ramirez & Kaltenegger 2014) for 3D HZ (more conservative) calculations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# outerFluxLimit - Early Mars flux limit in Earth fluxfrom Kopparapu et al. 2013 (used for empirical HZ planet list),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# TSM - Transmission Spectroscopy Metric from Kempton et al. 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# ang_sep_mas - angular separation between planet and host star in milliarcseconds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# ContrastRatio - brightness contrast ratio between planet and host star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# st_age_revised - host star ages in Gyr from literature search: sources can be found in source_for_age column,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# stellar_dist - distance to system in pc from NASA Exoplanet Archive or from source in source_for_dist column,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# stellar_teff - stellar temperature in Kelvin from source in StellarRef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# pl_orbeccen - planet's orbital eccentricity. NOTE: HZ calculations only use eccentricity values for planets where eccentricity is not an upper or lower limit; so planets with lower or upper limits on eccentricities have zero here instead.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# sy_vmag sy_jmag sy_kmag - visual V Johnson band; infrared J 2MASS band; near-infrared Ks 2MASS band stellar magnitudes from NASA Exoplanet Archive (with the exception of K2-288 B b's J band magnitude not found in default values but available from from Feinstein et al. 2019 doi:10.3847/1538-3881/aafa70),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# %Period_in_HZ_no_uncert - Time spent in the empirical HZ as a percentage of the planet's orbit (influenced by eccentricity). No flux uncertainty included; planets that require flux uncertainty to overlap the HZ have 0 in this column.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# %Period_in_3DHZ_no_uncert - Time spent in the 3D HZ (using 3D inner limit) as a percentage of the planet's orbit (influenced by eccentricity). No flux uncertainty included; planets that require flux uncertainty to overlap the HZ have 0 in this column.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Max_%Period_in_HZ_with_uncert - Maximum time possibly spent in the HZ as a percentage of the planet's orbit (influenced by eccentricity and flux uncertainty).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Max_%Period_in_3DHZ_with_uncert - Maximum time possibly spent in the HZ (with 3D inner limit) as a percentage of the planet's orbit (influenced by eccentricity and flux uncertainty). Planets may spend some time in the 3D HZ and still be removed from the total count of planets within these limits (due to their time-AVERAGED flux not falling within 3D HZ limits).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# ...err1 - upper measurement uncertainty for corresponding parameter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# ...err2 - lower measurement uncertainty for corresponding parameter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# pl_bmasselim - planets with only maximum mass known are flagged with 1 compared to planets with a minimum mass (-1) or more constrained mass (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# pl_rade_original - planet radius in the NASA Exoplanet Archive (before updates to some planets via calculating planet radius from new Gaia stellar radius),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# st_age_original - default stellar age values from NASA Exoplanet Archive (NEA). Stellar age literature search was conducted only for rocky HZ planets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# agemethod - method that each source in source_for_age used to determine stellar age,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# source_for_age citation_for_age - link to source paper for stellar age and short citation for paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# source_for_dist - source for sy_dist column (which may be different from NASA Exoplanet Archive if no value present there),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# sy_snum - number of total stars in system. Planet orbits only one of these stars if cb_flag column = 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# cb_flag - 1 indicates planet that orbits multiple stars in the system rather than a single star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# tran_flag - 1 indicates that planet transits its host star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# pl_controv_flag - PLANET MARKED 1 IS CONSIDERED CONTROVERSIAL (pl_controv_flag in NASA Exoplanet Archive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# pl_orbeccenlim - 1 indicates upper limit and -1 indicates lower limit on planet orbital eccentricity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# discoverymethod - method used to discover planet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# StellarRef - literature source for host star parameters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# PlanetaryRef - literature source for planet parameters EXCEPT if planet radius updated with Gaia DR3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# SystemRef - literature source for system parameters (distance / age / magnitudes) unless otherwise noted in source_for_age and source_for_distance (which may differ based on literature search),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,pl_name,pl_rade,pl_bmasse,insolationFluxAvg,minFlux,maxFlux,innerFluxLimit,3DinnerFluxLimit,outerFluxLimit,TSM,ang_sep_mas,ContrastRatio,st_age_revised,stellar_dist,stellar_teff,pl_orbeccen,sy_vmag,sy_jmag,sy_kmag,%Period_in_HZ_no_uncert,%Period_in_3DHZ_no_uncert,Max_%Period_in_HZ_with_uncert,Max_%Period_in_3DHZ_with_uncert,pl_radeerr1,pl_radeerr2,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,st_ageerr1_revised,st_ageerr2_revised,stellar_disterr1,stellar_disterr2,stellar_tefferr1,stellar_tefferr2,pl_orbeccenerr1,pl_orbeccenerr2,sy_vmagerr1,sy_vmagerr2,sy_jmagerr1,sy_jmagerr2,sy_kmagerr1,sy_kmagerr2,pl_rade_original,pl_radeerr1_original,pl_radeerr2_original,st_age_original,st_ageerr1_original,st_ageerr2_original,agemethod,source_for_age,citation_for_age,source_for_dist,sy_snum,cb_flag,tran_flag,pl_controv_flag,pl_orbeccenlim,discoverymethod,StellarRef,PlanetaryRef,SystemRef
0,16 Cyg B b,,565.7374,0.60,0.57,0.65,1.76,1.09,0.31,1309.86,78.66,5.60e-08,,21.1048,5639.604,0.68,6.215,4.993,4.651,29.43,24.05,31.58,25.79,,,25.4264,-25.4264,0.0,,,0.0117,-0.0202,2.1367,-1.186,0.02,-0.02,0.016,-0.016,0.037,-0.037,0.016,-0.016,,,,,,,,,,Gaia DR3,3,0,0.0,0.0,0.0,Radial Velocity,Gaia DR3,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>
1,47 UMa b,,804.08,0.36,0.35,0.37,1.77,1.10,0.32,2186.33,151.12,5.29e-08,,13.8966,5763.587,0.032,5.03352,3.96,3.75,100.0,100.0,100.0,100.0,,,22.25,-19.07,0.0,,,0.0613,-0.0271,1.5883,-2.3853,0.014,-0.014,0.023,-0.023,0.296,-0.296,0.34,-0.34,,,,,,,,,,Gaia DR3,1,0,0.0,0.0,0.0,Radial Velocity,Gaia DR3,<a refstr=GREGORY___FISCHER_2010 href=https://ui.adsabs.harvard.edu/abs/2010MNRAS.403..731G/abstract target=ref> Gregory &amp; Fischer 2010 </a>,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>
2,55 Cnc B c,,5.3,0.46,0.25,0.78,1.51,0.83,0.22,7.29,10.42,1.99e-08,,12.4773,3286.0,0.0,13.152,8.56,7.666,100.0,100.0,100.0,100.0,,,1.4,-1.4,0.0,,,0.0171,-0.0171,31.0,-31.0,,,0.09,-0.09,0.027,-0.027,0.023,-0.023,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2,0,0.0,0.0,0.0,Radial Velocity,<a refstr=MOUTOU_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025arXiv251011523M/abstract target=ref>Moutou et al. 2025</a>,<a refstr=MOUTOU_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025arXiv251011523M/abstract target=ref>Moutou et al. 2025</a>,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>
3,55 Cnc f,,48.5,0.96,0.92,1.01,1.69,1.03,0.29,381.83,63.75,1.33e-08,,12.5796,5184.4775,0.063,5.95084,4.768,4.015,100.0,72.60,100.0,100.0,,,2.8,-2.8,0.0,,,0.0169,-0.0084,1.4575,-5.6582,0.048,-0.043,0.023,-0.023,0.244,-0.244,0.036,-0.036,,,,,,,,,,Gaia DR3,2,0,0.0,0.0,0.0,Radial Velocity,Gaia DR3,<a refstr=MOUTOU_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025arXiv251011523M/abstract target=ref>Moutou et al. 2025</a>,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>
4,BD+14 4559 b,,330.5432,0.63,0.55,0.73,1.64,0.99,0.27,434.76,15.83,1.35e-07,,49.2612,4800.7144,0.29,9.78,7.882,7.336,100.0,83.49,100.0,100.0,,,149.3801,-149.3801,0.0,,,0.2981,-0.0694,2.747,-1.1964,0.03,-0.03,0.03,-0.03,0.029,-0.029,0.023,-0.023,,,,,,,,,,Gaia DR3,1,0,0.0,0.0,0.0,Radial Velocity,Gaia DR3,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>
5,BD+45 564 b,,432.24663352,0.57,0.51,0.64,1.67,1.01,0.28,523.08,15.59,1.63e-07,,53.2503,4971.86,0.12,9.67,8.063,7.557,100.0,100.0,100.0,100.0,,,38.13940884,-38.13940884,0.0,,,0.0462,-0.0435,1.125,-0.9713,0.06,-0.06,0.03,-0.03,0.023,-0.023,0.024,-0.024,,,,,,,,,,Gaia DR3,1,0,0.0,0.0,0.0,Radial Velocity,Gaia DR3,<a refstr=DALAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...651A..11D/abstract target=ref>Dalal et al. 2021</a>,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>
6,BD+55 362 b,,228.83645304,0.80,0.68,0.95,1.67,1.02,0.28,342.72,14.89,8.74e-08,,52.3833,5047.193,0.27,9.38,7.826,7.331,100.0,73.77,100.0,88.94,,,25.42627256,-25.42627256,0.0,,,0.0994,-0.1637,23.977,-2.194,0.06,-0.06,0.03,-0.03,0.019,-0.019,0.021,-0.021,,,,,,,,,,Gaia DR3,1,0,0.0,0.0,0.0,Radial Velocity,Gaia DR3,<a refstr=DALAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...651A..11D/abstract target=ref>Dalal et al. 2021</a>,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>
7,BD-08 2823 c,,104.0,0.52,0.48,0.58,1.62,0.97,0.26,217.95,16.45,4.55e-08,,41.3308,4608.6323,0.19,9.86,7.96,7.323,100.0,100.0,100.0,100.0,,,10.0,-10.0,0.0,,,0.1655,-0.0504,10.3267,-6.2549,0.09,-0.09,0.03,-0.03,0.02,-0.02,0.021,-0.021,,,,,,,,,,Gaia DR3,1,0,0.0,0.0,0.0,Radial Velocity,Gaia DR3,<a refstr=HEBRARD_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...512A..46H/abstract target=ref> H&eacute;brard et al. 2010 </a>,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>
8,BEBOP-3 b,,177.34825111,1.14,1.09,1.21,1.80,1.12,0.33,101.50,12.29,1.89e-08,,117.4731,5920.1753,0.247,9.259,8.157,7.86,87.40,58.78,100.0,62.41,,,16.20924876,-15.25576354,0.0,,,0.2231,-0.2863,2.4121,-1.3159,0.077,-0.089,0.003,-0.003,0.023,-0.023,0.017,-0.017,,,,,,,,,,Gaia DR3,2,1,0.0,0.0,0.0,Radial Velocity,Gaia DR3,<a refstr=BAYCROFT_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025MNRAS.541.2801B/abstract target=ref>Baycroft et al. 2025</a>,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>
9,BEBOP-4 AB b,,8358.8871041,0.56,0.54,0.59,1.79,1.12,0.32,466.87,15.89,2.77e-07,,228.7087,5852.663,0.428,9.646,8.4,8.076,59.66,44.61,65.1,49.14,,,,,1.0,,,4.361,-2.9479,11.1085,-6.0146,0.016,-0.016,0.004,-0.004,0.026,-0.026,0.02,-0.02,,,,,,,,,,Gaia DR3,2,1,0.0,0.0,0.0,Radial Velocity,Gaia DR3,<a refstr=TRIAUD_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025MNRAS.tmp.1782T/abstract target=ref>Triaud et al. 2025</a>,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>
10,GJ 1002 b,,1.08,0.67,0.55,0.82,1.49,0.80,0.21,48.2,9.43,6.83e-08,7.48,4.84867,3024.0,,,8.323,7.439,100.0,100.0,100.0,100.0,,,0.13,-0.13,0.0,3.62,-3.62,0.00303,-0.00304,52.0,-52.0,0.0,0.0,,,0.019,-0.019,0.021,-0.021,,,,,,,Gyrochronal,https://ui.adsabs.harvard.edu/abs/2023ApJ...954L..50E/abstract,Engle & Guinan 2023,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,1,0,0.0,0.0,,Radial Velocity,<a refstr=SU_AACUTE_REZ_MASCARE_NTILDE_O_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221207332S/abstract target=ref>Su&aacute;rez Mascare&ntilde;o et al. 2022</a>,<a refstr=SU_AACUTE_REZ_MASCARE_NTILDE_O_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221207332S/abstract target=ref>Su&aacute;rez Mascare&ntilde;o et al. 2022</a>,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>
11,GJ 1002 c,,1.36,0.26,0.21,0.32,1.49,0.80,0.21,36.31,15.22,2.97e-08,7.48,4.84867,3024.0,,,8.323,7.439,100.0,100.0,100.0,100.0,,,0.17,-0.17,0.0,3.62,-3.62,0.00303,-0.00304,52.0,-52.0,0.0,0.0,,,0.019,-0.019,0.021,-0.021,,,,,,,Gyrochronal,https://ui.adsabs.harvard.edu/abs/2023ApJ...954L..50E/abstract,Engle & Guinan 2023,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,1,0,0.0,0.0,,Radial Velocity,<a refstr=SU_AACUTE_REZ_MASCARE_NTILDE_O_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221207332S/abstract target=ref>Su&aacute;rez Mascare&ntilde;o et al. 2022</a>,<a refstr=SU_AACUTE_REZ_MASCARE_NTILDE_O_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221207332S/abstract target=ref>Su&aacute;rez Mascare&ntilde;o et al. 2022</a>,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>
